Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"MS evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific NX"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific NX"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific NX"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific NX"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific NX"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific pTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific pTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"
ENSG00000092201	SUPT16H	"CDC68, FACT, FACTP140, FLJ10857, FLJ14010, SPT16/CDC68"	"SPT16 homolog, facilitates chromatin remodeling subunit"	Q9Y5B9	14	21351472-21384266	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"DNA damage, DNA repair, DNA replication, Host-virus interaction, Transcription, Transcription regulation"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB022551, HPA049787"	Enhanced		Supported	"Nucleoplasm,Nucleoli fibrillar center"		Nucleoplasm	"Nucleoli fibrillar center"	"CAB022551: , HPA049787: "
ENSG00000148291	SURF2		"Surfeit 2"	Q15527	9	133356552-133361169	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"testis: 50.1"	"Cell line enhanced"	"Detected in all"		"MCF7: 43.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA044340, HPA052213"	Approved		Enhanced	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA044340: , HPA052213: "
ENSG00000148296	SURF6	"FLJ30322, RRP14"	"Surfeit 6"	O75683	9	133328774-133336398	"Plasma proteins, Predicted intracellular proteins"		"DNA-binding, RNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA023608, HPA074622"	Approved		Enhanced	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA023608: AB_1857671, HPA074622: "
ENSG00000178691	SUZ12	"CHET9, JJAZ1, KIAA0160"	"SUZ12 polycomb repressive complex 2 subunit"	Q15022	17	31937018-32001045	"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"	"Transcription, Transcription regulation"	"Chromatin regulator, Repressor"	"Cancer-related genes, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA057436	Approved		Supported	"Nucleoplasm,Nucleoli,Nuclear bodies"		"Nucleoplasm, Nucleoli, Nuclear bodies"		"HPA057436: "
ENSG00000131018	SYNE1	"8B, ARCA1, C6orf98, CPG2, dJ45H2.2, enaptin, KIAA0796, MYNE1, Nesp1, Nesprin-1, SCAR8, SYNE-1B"	"Spectrin repeat containing nuclear envelope protein 1"	Q8NF91	6	152121684-152637801	"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Differentiation, Spermatogenesis"	Actin-binding	"Cancer-related genes, Disease mutation, Emery-Dreifuss muscular dystrophy, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell line enhanced"	"Detected in many"		"U-266/70: 18.9"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Cell type enriched"	"Detected in many"	5	"eosinophil: 33.8"	"Lineage enriched"	"Detected in many"	5	"granulocytes: 33.8"									HPA019113	Approved		Supported	"Nucleoplasm,Nuclear membrane"		"Nucleoplasm, Nuclear membrane"		"HPA019113: AB_1857707"
ENSG00000197780	TAF13	"TAF2K, TAFII18"	"TATA-box binding protein associated factor 13"	Q15543	1	109062486-109076002	"Disease related genes, Predicted intracellular proteins"	"Transcription, Transcription regulation"		"Disease mutation, Mental retardation"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA044492	Approved		Enhanced	Nucleoplasm,Nucleoli		Nucleoplasm	Nucleoli	"HPA044492: AB_10962871"
ENSG00000115750	TAF1B	"RAF1B, RAFI63, SL1, TAFI63"	"TATA-box binding protein associated factor, RNA polymerase I subunit B"	Q53T94	2	9843354-9934416	"Predicted intracellular proteins, Predicted membrane proteins"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA071254			Supported	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA071254: "
ENSG00000103168	TAF1C	"MGC:39976, SL1, TAFI110, TAFI95"	"TATA-box binding protein associated factor, RNA polymerase I subunit C"	Q15572	16	84177847-84187070	"Predicted intracellular proteins"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA072229			Supported	"Nucleoplasm,Nucleoli fibrillar center"		"Nucleoplasm, Nucleoli fibrillar center"		"HPA072229: "
ENSG00000165632	TAF3	"TAF140, TAFII140"	"TATA-box binding protein associated factor 3"	Q5VWG9	10	7818504-8016627	"Predicted intracellular proteins"	"Transcription, Transcription regulation"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA066184			Supported	"Nucleoplasm,Nuclear membrane"		Nucleoplasm	"Nuclear membrane"	"HPA066184: "
ENSG00000141384	TAF4B	"TAF2C2, TAFII105"	"TATA-box binding protein associated factor 4b"	Q92750	18	26225936-26391685	"Disease related genes, Predicted intracellular proteins"	"Differentiation, Oogenesis, Spermatogenesis, Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell line enhanced"	"Detected in many"		"Daudi: 24.7;U-266/70: 11.8"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA028937	Uncertain		Supported	"Nucleoplasm,Nucleoli fibrillar center"		Nucleoplasm	"Nucleoli fibrillar center"	"HPA028937: AB_10603034"
ENSG00000109680	TBC1D19	FLJ11082	"TBC1 domain family member 19"	Q8N5T2	4	26576437-26755351	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"		"GTPase activation"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell line enhanced"	"Detected in many"		"LHCN-M2: 40.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA039592	Approved		Approved	"Nucleoplasm,Nuclear membrane"		"Nucleoplasm, Nuclear membrane"		"HPA039592: AB_10671043"
ENSG00000145348	TBCK	"HSPC302, MGC16169"	"TBC1 domain containing kinase"	Q8TEA7	4	106041599-106321495	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"			"Disease mutation"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell line enhanced"	"Detected in many"		"BJ hTERT+ SV40 Large T+: 24.8;BJ hTERT+ SV40 Large T+ RasG12V: 43.6;HBF TERT88: 29.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039951, HPA051611"	Uncertain		Approved	"Nucleoplasm,Nucleoli fibrillar center"		"Nucleoplasm, Nucleoli fibrillar center"		"HPA039951: AB_10795300, HPA051611: "
ENSG00000101849	TBL1X	"EBI, TBL1"	"Transducin beta like 1 X-linked"	O60907	X	9463295-9741037	"Plasma proteins, Predicted intracellular proteins"	"Transcription, Transcription regulation, Ubl conjugation pathway"	Activator	Deafness	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"neutrophil: 17.3"	"Lineage enriched"	"Detected in many"	4	"granulocytes: 17.3"									"CAB005363, HPA067703"	Approved		Approved	Nucleoplasm,Nucleoli		Nucleoplasm	Nucleoli	"CAB005363: AB_2240272, HPA067703: "
ENSG00000028839	TBPL1	"STUD, TLF, TLP, TRF2"	"TATA-box binding protein like 1"	P62380	6	133952170-133990432	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"testis: 71.2"	"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA071810, HPA071813"	Enhanced		Supported	Nucleoplasm,Nucleoli		Nucleoplasm	Nucleoli	"HPA071810: , HPA071813: "
ENSG00000187735	TCEA1	"GTF2S, SII, TCEA, TF2S, TFIIS"	"Transcription elongation factor A1"	P23193	8	53966552-54022529	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"	"Transcription, Transcription regulation"	DNA-binding	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA043786	Approved		Supported	Nucleoplasm,Nucleoli		Nucleoplasm	Nucleoli	"HPA043786: AB_10959468"
ENSG00000167014	TERB2	"C15orf43, MGC33951"	"Telomere repeat binding bouquet formation protein 2"	Q8NHR7	15	44956702-44979229	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	26	"testis: 51.9"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Cell type enhanced"	"Detected in single"		"basophil: 1.5"	"Lineage enriched"	"Detected in single"	15	"granulocytes: 1.5"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA041780			Uncertain	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA041780: AB_10796460"
ENSG00000147601	TERF1	"PIN2, TRBF1, TRF, TRF1"	"Telomeric repeat binding factor 1"	P54274	8	73008864-73048122	"Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis"	DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell line enhanced"	"Detected in all"		"NTERA-2: 51.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA048379			Approved	"Nucleoli fibrillar center,Nuclear bodies"		"Nucleoli fibrillar center"	"Nuclear bodies"	"HPA048379: "
ENSG00000138336	TET1	"bA119F7.1, CXXC6, KIAA1676, LCX"	"Tet methylcytosine dioxygenase 1"	Q8NFU7	10	68560656-68694482	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, Chromatin regulator, Dioxygenase, DNA-binding, Oxidoreductase, Repressor"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell line enhanced"	"Detected in many"		"BEWO: 15.1;HAP1: 17.2;K-562: 9.6;NTERA-2: 10.1"	"Cancer enriched"	"Detected in some"	15	"testis cancer: 10.4"	"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA019032, HPA057273"			Supported	"Nucleoplasm,Nuclear membrane"		Nucleoplasm	"Nuclear membrane"	"HPA019032: AB_1847363, HPA057273: "
ENSG00000160180	TFF3	"HITF, ITF"	"Trefoil factor 3"		21	42311667-42315651	"Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"				"Tissue enhanced"	"Detected in many"		"gallbladder: 230.9;thyroid gland: 258.3"	"Cell line enhanced"	"Detected in some"		"MCF7: 32.1;SCLC-21H: 9.8;T-47d: 15.0;TIME: 41.7"	"Low cancer specificity"	"Detected in all"			"Not detected"	"Not detected"			"Cell type enriched"	"Detected in single"	30	"eosinophil: 9.5"	"Lineage enriched"	"Detected in single"	63	"granulocytes: 9.5"	"Region enriched"	"Detected in single"	20	"cerebellum: 1.7"	"Region enriched"	"Detected in single"	8	"olfactory region: 1.0"	"CAB020681, HPA035464"	Enhanced		Approved	Nucleoplasm,Nucleoli	"Secreted to blood"	Nucleoplasm	Nucleoli	"CAB020681: , HPA035464: "
ENSG00000105619	TFPT	"amida, FB1, INO80F"	"TCF3 fusion partner"	P0C1Z6	19	54107013-54115675	"Disease related genes, Predicted intracellular proteins"	"Apoptosis, DNA damage, DNA recombination, DNA repair, Transcription, Transcription regulation"		Proto-oncogene	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 33.4"	"Low cell line specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA034958, HPA058534"	Approved		Supported	"Nucleoplasm,Nuclear membrane"		Nucleoplasm	"Nuclear membrane"	"HPA034958: AB_10603036, HPA058534: "
ENSG00000259431	THTPA	THTPASE	"Thiamine triphosphatase"	Q9BU02	14	23555988-23560271	"Enzymes, Predicted intracellular proteins"		Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA028876	Approved		Uncertain	Nucleoplasm,Nucleoli		Nucleoplasm	Nucleoli	"HPA028876: AB_10600731"
ENSG00000221944	TIGD1	EEYORE	"Tigger transposable element derived 1"	Q96MW7	2	232547968-232550592	"Predicted intracellular proteins"		DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"											HPA041717	Approved		Approved	"Nucleoplasm,Nucleoli,Nuclear bodies"		Nucleoli	"Nucleoplasm, Nuclear bodies"	"HPA041717: "
ENSG00000173825	TIGD3		"Tigger transposable element derived 3"	Q6B0B8	11	65354767-65357613	"Predicted intracellular proteins"		DNA-binding		"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"		"Tissue enhanced"	"Detected in many"		"blood: 14.9;brain: 8.6"	"Low cell line specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in some"	8	"basophil: 6.5;eosinophil: 8.4;neutrophil: 14.9"	"Lineage enriched"	"Detected in many"	12	"granulocytes: 14.9"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			HPA040016			Approved	"Nucleoplasm,Nuclear membrane"		"Nucleoplasm, Nuclear membrane"		"HPA040016: AB_10805600"
ENSG00000198498	TMA16	"C4orf43, FLJ11184"	"Translation machinery associated 16 homolog"	Q96EY4	4	163494442-163520539	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA041571, HPA052688"	Uncertain		Enhanced	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA041571: AB_10794381, HPA052688: "
ENSG00000232112	TMA7	"CCDC72, HSPC016"	"Translation machinery associated 7 homolog"	Q9Y2S6	3	48440257-48444208	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"blood: 204.3"	"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA047397			Approved	"Nucleoplasm,Nucleoli,Nuclear bodies"		Nucleoli	"Nucleoplasm, Nuclear bodies"	"HPA047397: "
ENSG00000170006	TMEM154	FLJ32028	"Transmembrane protein 154"	Q6P9G4	4	152618632-152680165	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"blood: 75.4;esophagus: 36.1;lymphoid tissue: 38.0"	"Cell line enhanced"	"Detected in many"		"HBEC3-KT: 24.3;HMC-1: 28.0;Karpas-707: 21.8;U-266/70: 27.3;U-937: 21.7"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in single"			"Group enriched"	"Detected in many"	7	"basophil: 49.8;eosinophil: 44.8;neutrophil: 75.4"	"Lineage enriched"	"Detected in many"	9	"granulocytes: 75.4"	"Low region specificity"	"Detected in single"			"Low region specificity"	"Detected in many"			"HPA019184, HPA055411"	Uncertain		Approved	"Nucleoplasm,Nuclear membrane"		"Nuclear membrane"	Nucleoplasm	"HPA019184: , HPA055411: "
ENSG00000127419	TMEM175	MGC4618	"Transmembrane protein 175"	Q9BSA9	4	932387-958656	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel"	"Neurodegeneration, Parkinson disease, Parkinsonism"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA057160	Approved		Approved	"Nucleoplasm,Nuclear membrane"		"Nucleoplasm, Nuclear membrane"		"HPA057160: "
ENSG00000144120	TMEM177	MGC10993	"Transmembrane protein 177"	Q53S58	2	119679167-119686507	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA036689, HPA053816"	Uncertain		Approved	"Nucleoplasm,Nucleoli fibrillar center"		"Nucleoplasm, Nucleoli fibrillar center"		"HPA036689: , HPA053816: "
ENSG00000188807	TMEM201	"Ima1, NET5, RP13-15M17.2, SAMP1"	"Transmembrane protein 201"	Q5SNT2	1	9588922-9614873	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 37.0"	"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"plasmacytoid DC: 4.3"	"Low lineage specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			CAB039039	Approved		Supported	"Nucleoplasm,Nuclear membrane"		"Nuclear membrane"	Nucleoplasm	"CAB039039: "
ENSG00000146842	TMEM209	"FLJ14803, NET31"	"Transmembrane protein 209"	Q96SK2	7	130164715-130207770	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA031678	Uncertain		Approved	"Nuclear membrane,Nuclear speckles,Vesicles"		"Nuclear membrane, Nuclear speckles, Vesicles"		"HPA031678: AB_10603135"
ENSG00000243749	TMEM35B	ZMYM6NB	"Transmembrane protein 35B"	Q8NCS4	1	34981535-34985353	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell line enhanced"	"Detected in many"		"ASC diff: 42.3;CAPAN-2: 40.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA051024	Uncertain		Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA051024: "
ENSG00000169964	TMEM42	MGC29956	"Transmembrane protein 42"	Q69YG0	3	44861869-44865670	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell line enhanced"	"Detected in many"		"HHSteC: 16.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA052569	Uncertain		Uncertain	Nucleoplasm,Nucleoli		Nucleoplasm	Nucleoli	"HPA052569: "
ENSG00000128872	TMOD2	NTMOD	"Tropomodulin 2"	Q9NZR1	15	51751561-51816368	"Predicted intracellular proteins"		Actin-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"brain: 68.6"	"Cell line enhanced"	"Detected in many"		"SCLC-21H: 26.3"	"Cancer enhanced"	"Detected in many"		"glioma: 7.8"	"Low region specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"neutrophil: 12.8"	"Group enriched"	"Detected in all"	4	"granulocytes: 12.8;monocytes: 8.8"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA041365	Enhanced		Approved	"Nucleoplasm,Nucleoli fibrillar center"		"Nucleoli fibrillar center"	Nucleoplasm	"HPA041365: AB_10794665"
